Data set,All Authors affiliated with Dartmouth College,,,,,,,,,,
Entity,Dartmouth College,,,,,,,,,,
Year range,2013 to >2023,,,,,,,,,,
Types of publications included,all publication types,,,,,,,,,,
Self-citations,included,,,,,,,,,,
,,,,,,,,,,,
Data source,Scopus,,,,,,,,,,
Date last updated,12-Jun-24,,,,,,,,,,
,,,,,,,,,,,
Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Output in Top 10% Citation Percentiles (field-weighted),Oldest publication (since 1996),Scopus author ID,Scopus author profile,Primary author affiliation
"Marotti, Jonathan Douglas",50,2024,673,13.5,1.16,23,10,2012,23501756300,https://www.scopus.com/authid/detail.url?authorId=23501756300,Unknown affiliation
"Cavanagh, Patrick",50,2024,426,8.5,0.63,55,2,2014,57203625101,https://www.scopus.com/authid/detail.url?authorId=57203625101,York University Toronto
"Weaver, John B.",50,2022,1422,28.4,1.17,42,22,1998,13605276000,https://www.scopus.com/authid/detail.url?authorId=13605276000,Unknown affiliation
"Tafe, Laura J.",50,2024,739,14.8,1.29,26,6,2007,16744467000,https://www.scopus.com/authid/detail.url?authorId=16744467000,Unknown affiliation
"Hughes, Russell P.",50,2024,1301,26,0.99,37,14,1996,7404305675,https://www.scopus.com/authid/detail.url?authorId=7404305675,Unknown affiliation
"Farid, Amro M.",50,2022,607,12.1,0.91,21,2,2015,55669939400,https://www.scopus.com/authid/detail.url?authorId=55669939400,Unknown affiliation
"Naslund, John A.",49,2022,3188,65.1,2.39,37,15,2013,55584521500,https://www.scopus.com/authid/detail.url?authorId=55584521500,Harvard University
"Fisher, Elliott S.",49,2024,1946,39.7,3.06,71,78,1996,7401995850,https://www.scopus.com/authid/detail.url?authorId=7401995850,Dartmouth College
"Ji, Songbai",49,2024,968,19.8,1.31,30,19,2007,22634489200,https://www.scopus.com/authid/detail.url?authorId=22634489200,Unknown affiliation
"Viola, Lorenza",49,2024,1120,22.9,1.21,45,24,2004,35370022600,https://www.scopus.com/authid/detail.url?authorId=35370022600,Dartmouth College
"Cheung, Ambrose L.",49,2023,1801,36.8,1.68,72,30,1999,7401806434,https://www.scopus.com/authid/detail.url?authorId=7401806434,Dartmouth College
"Lyon, John G.",49,2024,1048,21.4,1.03,40,14,1996,7202572566,https://www.scopus.com/authid/detail.url?authorId=7202572566,Unknown affiliation
"Pratt, Sarah I.",49,2024,1349,27.5,1.68,29,11,2003,7103017727,https://www.scopus.com/authid/detail.url?authorId=7103017727,Dartmouth College
"Aprahamian, Ivan",49,2024,3181,64.9,2.2,55,23,2009,56588793000,https://www.scopus.com/authid/detail.url?authorId=56588793000,Unknown affiliation
"Bailey-Kellogg, Chris",48,2022,2170,45.2,2.53,32,13,1999,6701726503,https://www.scopus.com/authid/detail.url?authorId=6701726503,Unknown affiliation
"Scott, John T.",48,2024,363,7.6,0.84,23,15,1996,55477039500,https://www.scopus.com/authid/detail.url?authorId=55477039500,Dartmouth College
"Weinstein, James Neal",48,2023,1251,26.1,1.35,71,45,1996,7201816858,https://www.scopus.com/authid/detail.url?authorId=7201816858,Microsoft USA
"Hautier, Geoffroy",48,2024,529,11,2.72,58,10,2021,23566519000,https://www.scopus.com/authid/detail.url?authorId=23566519000,Dartmouth College
"Baron, John Anthony",48,2023,1393,29,1.54,111,96,1996,26642948500,https://www.scopus.com/authid/detail.url?authorId=26642948500,Uppsala University
"Liu, Yihsin",48,2024,569,11.9,0.99,23,4,2017,57200232548,https://www.scopus.com/authid/detail.url?authorId=57200232548,United States Department of Energy
"Liu, Yihsin",48,2024,569,11.9,0.99,23,4,2017,57200232548,https://www.scopus.com/authid/detail.url?authorId=57200232548,Los Alamos National Laboratory
"Zhou, Xia",47,2022,1893,40.3,3.28,20,18,2014,56271430300,https://www.scopus.com/authid/detail.url?authorId=56271430300,Columbia University
"Levy, Joshua J.",47,2024,298,6.3,1.39,11,10,2019,57212195573,https://www.scopus.com/authid/detail.url?authorId=57212195573,Dartmouth College
"Higgs, Henry N.",47,2024,2776,59.1,2.73,49,24,2001,7003672526,https://www.scopus.com/authid/detail.url?authorId=7003672526,Dartmouth College
"Tse, Peter Ulric",47,2023,557,11.9,0.69,29,5,2002,7005336874,https://www.scopus.com/authid/detail.url?authorId=7005336874,Dartmouth College
"Miller, Todd W.",47,2024,1251,26.6,1.21,28,9,2012,35752524700,https://www.scopus.com/authid/detail.url?authorId=35752524700,Dartmouth College
"Mills, Peter Donald",46,2023,489,10.6,0.7,31,16,2001,7202033539,https://www.scopus.com/authid/detail.url?authorId=7202033539,Unknown affiliation
"Newton, Elisabeth R.",46,2024,1180,25.7,1.89,32,9,2019,39762509600,https://www.scopus.com/authid/detail.url?authorId=39762509600,Dartmouth College
"Wheatley, Thalia P.",46,2024,1555,33.8,2.24,33,15,2007,12779163300,https://www.scopus.com/authid/detail.url?authorId=12779163300,Santa Fe Institute
"Thayer, Zaneta M.",46,2024,864,18.8,1.9,22,9,2017,36626828100,https://www.scopus.com/authid/detail.url?authorId=36626828100,Dartmouth College
"Fesen, Robert A.",46,2024,1142,24.8,0.82,43,9,1996,7007063725,https://www.scopus.com/authid/detail.url?authorId=7007063725,Dartmouth College
"Thorstensen, John R.",46,2023,1062,23.1,0.92,39,10,1996,7007064523,https://www.scopus.com/authid/detail.url?authorId=7007064523,Dartmouth College
"Blanchflower, David G.",46,2024,1000,21.7,3.32,35,35,1996,6603135980,https://www.scopus.com/authid/detail.url?authorId=6603135980,University of Glasgow
"Austin, Andrea M.",46,2024,615,13.4,0.98,15,3,2016,57189992201,https://www.scopus.com/authid/detail.url?authorId=57189992201,Dartmouth College
"Li, Weiyang",46,2024,2928,63.7,3.1,67,22,2017,55623001800,https://www.scopus.com/authid/detail.url?authorId=55623001800,Dartmouth College
"Hawley, Robert Lyman",45,2024,1144,25.4,1.09,23,3,2008,12804016800,https://www.scopus.com/authid/detail.url?authorId=12804016800,Unknown affiliation
"Loros, Jennifer J.",45,2024,1831,40.7,1.95,62,38,1996,7004248546,https://www.scopus.com/authid/detail.url?authorId=7004248546,Dartmouth College
"Gerber, Scott A.",45,2024,1378,30.6,1.29,42,13,2007,34975050000,https://www.scopus.com/authid/detail.url?authorId=34975050000,Dartmouth College
"Chang, Luke J.",45,2024,2076,46.1,3.15,30,19,2015,57201236717,https://www.scopus.com/authid/detail.url?authorId=57201236717,Dartmouth College
"Odame, Kofi M.",44,2022,580,13.2,1.11,15,4,2009,21834677200,https://www.scopus.com/authid/detail.url?authorId=21834677200,Dartmouth College
"Lewis, Valerie A.",44,2020,1596,36.3,2.68,28,22,2012,56354870400,https://www.scopus.com/authid/detail.url?authorId=56354870400,Unknown affiliation
"Bucci, David J.",44,2022,1055,24,0.76,36,4,2004,7004075144,https://www.scopus.com/authid/detail.url?authorId=7004075144,Dartmouth College
"Yang, Xingdong",43,2021,1097,25.5,2.07,25,15,2015,14036728900,https://www.scopus.com/authid/detail.url?authorId=14036728900,Simon Fraser University
"Morlighem, Mathieu",43,2024,322,7.5,2.8,54,7,2021,36239282800,https://www.scopus.com/authid/detail.url?authorId=36239282800,Dartmouth College
"Quattrini Li, Alberto Quattrini",43,2024,358,8.3,1.89,17,13,2019,56023035800,https://www.scopus.com/authid/detail.url?authorId=56023035800,Dartmouth College
"Craig, Sienna R.",43,2023,298,6.9,0.66,18,6,2007,8980530800,https://www.scopus.com/authid/detail.url?authorId=8980530800,Dartmouth College
"Griswold, Karl E.",43,2023,973,22.6,1.12,25,4,2009,7004006683,https://www.scopus.com/authid/detail.url?authorId=7004006683,Dartmouth College
"Mankin, Justin S.",43,2024,2259,52.5,3.61,28,19,2017,52364254400,https://www.scopus.com/authid/detail.url?authorId=52364254400,Unknown affiliation
"Columbo, Jesse A.",42,2024,498,11.9,1.47,21,8,2017,7801471407,https://www.scopus.com/authid/detail.url?authorId=7801471407,Dartmouth College
"Calderwood, Audrey H.",42,2024,514,12.2,1.87,25,11,2018,8966677200,https://www.scopus.com/authid/detail.url?authorId=8966677200,Unknown affiliation
"Cao, Xu",42,2024,460,11,1.39,18,6,2018,46660903600,https://www.scopus.com/authid/detail.url?authorId=46660903600,Dartmouth College
"Schulson, Erland M.",42,2024,407,9.7,0.81,28,13,1996,7006159133,https://www.scopus.com/authid/detail.url?authorId=7006159133,Dartmouth College
"Taube, Jeffrey S.",42,2024,1137,27.1,1.55,41,14,1996,7006576411,https://www.scopus.com/authid/detail.url?authorId=7006576411,Dartmouth College
"Frost, Hildreth Robert",42,2024,446,10.6,0.82,13,1,2012,55192934600,https://www.scopus.com/authid/detail.url?authorId=55192934600,Dartmouth College
"Hegel, Mark Thomas",42,2024,2257,53.7,1.95,43,20,1997,7003635980,https://www.scopus.com/authid/detail.url?authorId=7003635980,Dartmouth College
"Wegst, Ulrike G.K.",41,2023,4405,107.4,3.97,29,8,2012,7801663297,https://www.scopus.com/authid/detail.url?authorId=7801663297,Technical University of Berlin
"Eastman, Alan R.",41,2021,1352,33,1.45,41,16,1996,7006325598,https://www.scopus.com/authid/detail.url?authorId=7006325598,Dartmouth College
"Stanger, Catherine",41,2024,696,17,1.13,32,6,2013,7003646191,https://www.scopus.com/authid/detail.url?authorId=7003646191,Dartmouth College
"Schaller, George Eric",41,2023,2893,70.6,2.33,45,26,2003,7005640150,https://www.scopus.com/authid/detail.url?authorId=7005640150,Unknown affiliation
"Chaboyer, Brian C.",41,2024,836,20.4,0.95,42,18,1999,7004566554,https://www.scopus.com/authid/detail.url?authorId=7004566554,Dartmouth College
"van Oudenhove, Lukas",41,2024,254,6.2,1.08,52,4,2020,9247268900,https://www.scopus.com/authid/detail.url?authorId=9247268900,KU Leuven
"Magilligan, Francis J.",41,2024,1590,38.8,2.87,36,18,1996,6701692328,https://www.scopus.com/authid/detail.url?authorId=6701692328,Dartmouth College
"Smith, Sean W.",41,2023,323,7.9,1.19,29,30,2001,19934665900,https://www.scopus.com/authid/detail.url?authorId=19934665900,Unknown affiliation
"Tanski, Susanne E.",41,2024,1325,32.3,2.51,38,20,2007,8158562700,https://www.scopus.com/authid/detail.url?authorId=8158562700,Dartmouth College
"Sippel, Lauren M.",41,2024,343,8.4,1.18,17,5,2018,37051252500,https://www.scopus.com/authid/detail.url?authorId=37051252500,Dartmouth College
"Heatherton, Todd F.",41,2020,1447,35.3,1.38,64,41,1997,7003350269,https://www.scopus.com/authid/detail.url?authorId=7003350269,Dartmouth College
"LaBelle, James W.",40,2023,257,6.4,0.52,20,1,1996,8076945900,https://www.scopus.com/authid/detail.url?authorId=8076945900,Dartmouth College
"Cybenko, George V.",40,2023,242,6.1,0.89,22,21,1996,7003352275,https://www.scopus.com/authid/detail.url?authorId=7003352275,Dartmouth College
"Scalia, Peter D.",40,2024,578,14.5,1.34,14,9,2017,57194382416,https://www.scopus.com/authid/detail.url?authorId=57194382416,Dartmouth College
"Micalizio, Glenn C.",40,2024,410,10.3,0.64,34,1,2013,6603456003,https://www.scopus.com/authid/detail.url?authorId=6603456003,Unknown affiliation
"Rockmore, Daniel N.",40,2024,612,15.3,1.44,25,19,1996,6603901581,https://www.scopus.com/authid/detail.url?authorId=6603901581,Santa Fe Institute
"Winter, Jonathan M.",40,2023,941,23.5,1.66,20,5,2015,22939703100,https://www.scopus.com/authid/detail.url?authorId=22939703100,Dartmouth College
"Stern, Judy E.",40,2023,1132,28.3,1.79,36,10,1997,57104406200,https://www.scopus.com/authid/detail.url?authorId=57104406200,Dartmouth College
"Rigby, William F.C.",40,2022,1774,44.4,2.64,34,15,1997,56762818200,https://www.scopus.com/authid/detail.url?authorId=56762818200,Dartmouth College
"Bzik, David J.",40,2024,1227,30.7,1.06,32,7,1997,7004066631,https://www.scopus.com/authid/detail.url?authorId=7004066631,Dartmouth College
"Zegans, Michael E.",40,2024,1225,30.6,2.23,38,22,2001,6603068790,https://www.scopus.com/authid/detail.url?authorId=6603068790,Dartmouth College
"Plunkett, David",40,2024,989,24.7,3.37,13,16,2012,50662013700,https://www.scopus.com/authid/detail.url?authorId=50662013700,Dartmouth College
"Batalden, Paul B.",40,2023,3380,84.5,3.87,40,41,1996,57207532665,https://www.scopus.com/authid/detail.url?authorId=57207532665,Dartmouth College
"Borodovsky, Jacob T.",40,2024,1055,26.4,2.48,21,11,2016,36600078600,https://www.scopus.com/authid/detail.url?authorId=36600078600,Dartmouth College
"Lichtenstein, Jonathan D.",40,2024,725,18.1,1.33,19,9,2015,57114712500,https://www.scopus.com/authid/detail.url?authorId=57114712500,Dartmouth College
"Han, Younghun",39,2019,2033,52.1,1.89,32,6,2013,36105914300,https://www.scopus.com/authid/detail.url?authorId=36105914300,Baylor College of Medicine
"Young-Xu, Yinong",39,2023,1317,33.8,1.62,33,9,2006,6602330999,https://www.scopus.com/authid/detail.url?authorId=6602330999,Department of Veterans Affairs
"Halchenko, Yaroslav O.",39,2024,19215,492.7,33.06,29,21,2009,6503870081,https://www.scopus.com/authid/detail.url?authorId=6503870081,Dartmouth College
"Bernardy, Nancy C.",39,2024,829,21.3,1.31,22,10,2002,6602880036,https://www.scopus.com/authid/detail.url?authorId=6602880036,Dartmouth College
"Dumont, Larry J.",39,2022,1268,32.5,2.55,38,14,2008,7005044729,https://www.scopus.com/authid/detail.url?authorId=7005044729,University of Colorado Anschutz Medical Campus
"Schroeck, Florian R.",39,2024,523,13.4,0.93,22,2,2015,6603309507,https://www.scopus.com/authid/detail.url?authorId=6603309507,Dartmouth College
"Vaze, Vikrant S.",38,2024,389,10.2,0.78,14,1,2014,23767335500,https://www.scopus.com/authid/detail.url?authorId=23767335500,Dartmouth College
"Petersen, Curtis Lee",38,2023,348,9.2,0.9,10,4,2018,57207730851,https://www.scopus.com/authid/detail.url?authorId=57207730851,University of North Carolina at Chapel Hill
"Subrahmanian, Venkatramanan Siva",38,2023,731,19.2,1.73,41,7,2018,7006050903,https://www.scopus.com/authid/detail.url?authorId=7006050903,Northwestern University
"Sentman, Charles L.",38,2024,2204,58,2.28,42,11,2004,7003295898,https://www.scopus.com/authid/detail.url?authorId=7003295898,Dartmouth College
"Phan, Minh Q.",38,2020,166,4.4,0.67,18,17,2002,57205979762,https://www.scopus.com/authid/detail.url?authorId=57205979762,Dartmouth College
"McHugo, Gregory J.",38,2021,1567,41.2,1.71,57,39,1996,7004046105,https://www.scopus.com/authid/detail.url?authorId=7004046105,Dartmouth College
"Zhao, Wenyan",37,2023,1549,41.9,1.92,32,15,2009,55672205500,https://www.scopus.com/authid/detail.url?authorId=55672205500,Dartmouth College
"Mirica, Katherine A.",37,2024,2983,80.6,2.86,36,16,2016,26023377600,https://www.scopus.com/authid/detail.url?authorId=26023377600,Unknown affiliation
"McLellan, Jason S.",37,2018,4385,118.5,4.54,55,20,2014,11140034400,https://www.scopus.com/authid/detail.url?authorId=11140034400,University of Texas at Austin
"Kelly, Meredith A.",37,2024,972,26.3,1.99,25,10,2010,7403315151,https://www.scopus.com/authid/detail.url?authorId=7403315151,Unknown affiliation
"Leib, David A.",37,2024,5237,141.5,3.83,38,9,2010,7005277925,https://www.scopus.com/authid/detail.url?authorId=7005277925,Unknown affiliation
"Crabtree, Charles David",37,2024,501,13.5,2.1,13,8,2019,56669557400,https://www.scopus.com/authid/detail.url?authorId=56669557400,Dartmouth College
"Streeter, Samuel S.",37,2024,156,4.2,1.02,7,3,2019,57208440653,https://www.scopus.com/authid/detail.url?authorId=57208440653,Dartmouth College
"Bekelis, Kimon",37,2020,541,14.6,0.8,29,3,2010,32867552300,https://www.scopus.com/authid/detail.url?authorId=32867552300,Unknown affiliation
"Creager, Mark A.",37,2023,1063,28.7,1.82,114,10,2015,7005532436,https://www.scopus.com/authid/detail.url?authorId=7005532436,Unknown affiliation
"McClung, Charles Robertson",37,2022,1892,51.1,1.71,51,28,1996,6701775162,https://www.scopus.com/authid/detail.url?authorId=6701775162,Unknown affiliation
"Fox, Barbara A.",36,2024,1042,28.9,1,35,6,1997,7202735525,https://www.scopus.com/authid/detail.url?authorId=7202735525,Dartmouth College
"Keller, Kevin Lane",36,2023,1198,33.3,1.78,34,24,1999,7202165217,https://www.scopus.com/authid/detail.url?authorId=7202165217,Dartmouth College
"Santos, Eugene",36,2024,96,2.7,0.22,17,5,2006,23980706000,https://www.scopus.com/authid/detail.url?authorId=23980706000,Dartmouth College
"Voight, John",36,2024,186,5.2,0.74,12,3,2014,14057412700,https://www.scopus.com/authid/detail.url?authorId=14057412700,Unknown affiliation
"Butterly, Lynn F.",36,2024,4184,116.2,6.98,19,11,2007,7801512244,https://www.scopus.com/authid/detail.url?authorId=7801512244,Dartmouth College
"Polashenski, Chris M.",36,2024,827,23,1.95,26,10,2009,36160514000,https://www.scopus.com/authid/detail.url?authorId=36160514000,Dartmouth College
"Lucas, Brian P.",36,2024,606,16.8,2.48,17,11,2015,7101672912,https://www.scopus.com/authid/detail.url?authorId=7101672912,Dartmouth College
"Meara, Ellen R.",36,2024,1428,39.7,3.01,31,17,2011,6602187661,https://www.scopus.com/authid/detail.url?authorId=6602187661,National Bureau of Economic Research
"DeSilva, Jeremy M.",36,2024,983,27.3,2.23,26,9,2015,57206141657,https://www.scopus.com/authid/detail.url?authorId=57206141657,Dartmouth College
"Wallace, Dorothy I.",36,2023,189,5.3,0.34,7,0,1996,24389856000,https://www.scopus.com/authid/detail.url?authorId=24389856000,Unknown affiliation
"Horiuchi, Yusaku",36,2024,773,21.5,2.88,21,11,2012,24168107200,https://www.scopus.com/authid/detail.url?authorId=24168107200,Dartmouth College
"Zhu, Bo",36,2024,380,10.6,1.03,17,1,2018,57207099827,https://www.scopus.com/authid/detail.url?authorId=57207099827,Georgia Institute of Technology
"Howarth, Richard B.",35,2023,808,23.1,1.02,31,9,1998,7101808750,https://www.scopus.com/authid/detail.url?authorId=7101808750,Nottingham Trent University
"Gelb, Anne",35,2024,176,5,0.7,23,3,2017,7102108941,https://www.scopus.com/authid/detail.url?authorId=7102108941,Unknown affiliation
"Wells, Wendy A.",35,2023,978,27.9,1.49,40,10,1996,35494680600,https://www.scopus.com/authid/detail.url?authorId=35494680600,Unknown affiliation
"Chakrabarty, Deeparnab",35,2024,487,13.9,2.1,24,9,2017,14048078300,https://www.scopus.com/authid/detail.url?authorId=14048078300,Unknown affiliation
"Strawbridge, Rendall R.",35,2024,199,5.7,0.66,14,3,1996,6603419040,https://www.scopus.com/authid/detail.url?authorId=6603419040,Dartmouth College
"Wright, Peter F.",35,2023,1433,40.9,4.06,70,22,2008,7404316022,https://www.scopus.com/authid/detail.url?authorId=7404316022,Unknown affiliation
"Mirza, Sohail K.",35,2024,724,20.7,1.33,46,12,2009,7102685079,https://www.scopus.com/authid/detail.url?authorId=7102685079,Unknown affiliation
"Bond, Gary R.",35,2016,1947,55.6,2.81,65,21,2000,7202423033,https://www.scopus.com/authid/detail.url?authorId=7202423033,Columbia University
"Chipman, Jonathan W.",35,2024,540,15.4,1.01,18,3,2009,7004915363,https://www.scopus.com/authid/detail.url?authorId=7004915363,Dartmouth College
"Ogrinc, Greg S.",35,2020,2529,72.3,3.03,30,21,2002,6603574352,https://www.scopus.com/authid/detail.url?authorId=6603574352,University of Illinois at Chicago
"Oliver, Brant J.",35,2024,146,4.2,0.75,10,3,2011,36669108900,https://www.scopus.com/authid/detail.url?authorId=36669108900,Unknown affiliation
"Peacock, Janet L.",35,2024,210,6,0.94,46,3,2016,35548124700,https://www.scopus.com/authid/detail.url?authorId=35548124700,King's College London
"Paydarfar, Joseph Ali",34,2024,149,4.4,0.86,13,5,2006,6506300559,https://www.scopus.com/authid/detail.url?authorId=6506300559,Unknown affiliation
"Sporn, Michael B.",34,2022,1050,30.9,1.52,79,60,1996,35391277400,https://www.scopus.com/authid/detail.url?authorId=35391277400,Unknown affiliation
"Ramkumar, Niveditta",34,2024,393,11.6,1.18,11,5,2017,57193334015,https://www.scopus.com/authid/detail.url?authorId=57193334015,Unknown affiliation
"Moseley, James B.",34,2023,430,12.6,0.63,25,0,2011,7102814562,https://www.scopus.com/authid/detail.url?authorId=7102814562,Dartmouth College
"Grigoryan, Gevorg",34,2024,782,23,1.03,24,3,2011,9838946100,https://www.scopus.com/authid/detail.url?authorId=9838946100,Unknown affiliation
"Jermyn, Michael",34,2023,1293,38,1.83,21,12,2010,36477462500,https://www.scopus.com/authid/detail.url?authorId=36477462500,Unknown affiliation
"Wohlforth, William C.",34,2023,977,28.7,4.93,27,23,2000,6602263760,https://www.scopus.com/authid/detail.url?authorId=6602263760,Dartmouth College
"Weiner, Joshua A.",33,2024,1010,30.6,2.15,18,11,2010,37032190000,https://www.scopus.com/authid/detail.url?authorId=37032190000,Dartmouth College
"Lyons, Kathleen Doyle",33,2024,1822,55.2,2.47,21,8,2004,57192428122,https://www.scopus.com/authid/detail.url?authorId=57192428122,Unknown affiliation
"Soltani, Alireza",33,2024,664,20.1,1.27,19,4,2015,12801819500,https://www.scopus.com/authid/detail.url?authorId=12801819500,Dartmouth College
"Ray, Laura R.",33,2023,193,5.8,0.52,20,6,1997,7102803190,https://www.scopus.com/authid/detail.url?authorId=7102803190,Dartmouth College
"Henderson, Eric R.",33,2024,209,6.3,1.09,27,5,2013,35965806700,https://www.scopus.com/authid/detail.url?authorId=35965806700,Dartmouth College
"Brooks, Gabriel A.",33,2024,278,8.4,1.77,18,8,2018,7202058175,https://www.scopus.com/authid/detail.url?authorId=7202058175,Dartmouth College
